customer_id,first_name,last_name,city,state,zip,OrderNumber,Channel,CurrencyCode,SalesTeamID,Product_id,Order Quantity,Discount Applied,Unit Cost,Unit Price,Transaction Date
1,Aiden,Martin,South Hadley,Massachusetts,1075,SO - 000361,Referral,USD,28,45,1,0.075,527.63,837.5,2022-02-15
1,Aiden,Martin,South Hadley,Massachusetts,1075,SO - 000643,Direct/Organic,USD,17,26,6,0.1,462.3,1005.0,2022-04-16
1,Aiden,Martin,South Hadley,Massachusetts,1075,SO - 0002272,Direct/Organic,USD,27,28,8,0.075,785.91,1139.0,2023-07-11
1,Aiden,Martin,South Hadley,Massachusetts,1075,SO - 0002541,Marketing - Paid,USD,27,35,5,0.075,92.26,180.9,2023-04-21
1,Aiden,Martin,South Hadley,Massachusetts,1075,SO - 0003129,Partner,USD,16,46,3,0.075,428.8,857.6,2023-06-27
1,Aiden,Martin,South Hadley,Massachusetts,1075,SO - 0004347,Direct/Organic,USD,8,11,8,0.3,439.52,1072.0,2023-11-24
1,Aiden,Martin,South Hadley,Massachusetts,1075,SO - 0006149,Direct/Organic,USD,25,6,3,0.15,1254.04,2458.9,2024-03-13
2,Amanda,Jackson,Myrtle Beach,South Carolina,29549,SO - 000462,Partner,USD,22,7,1,0.05,861.08,1025.1,2023-01-17
2,Amanda,Jackson,Myrtle Beach,South Carolina,29549,SO - 0001660,Referral,USD,28,13,6,0.2,719.85,1058.6,2022-04-20
2,Amanda,Jackson,Myrtle Beach,South Carolina,29549,SO - 0004118,Direct/Organic,USD,1,7,4,0.2,516.84,891.1,2023-10-22
2,Amanda,Jackson,Myrtle Beach,South Carolina,29549,SO - 0004424,Direct/Organic,USD,11,8,8,0.05,775.32,1762.1,2023-12-02
2,Amanda,Jackson,Myrtle Beach,South Carolina,29549,SO - 0005280,Referral,USD,8,14,4,0.1,1288.34,1922.9,2023-07-11
2,Amanda,Jackson,Myrtle Beach,South Carolina,29549,SO - 0005472,Marketing - Paid,USD,14,10,2,0.05,4521.83,5319.8,2024-02-14
2,Amanda,Jackson,Myrtle Beach,South Carolina,29549,SO - 0005696,Referral,USD,1,45,1,0.4,1434.4,1815.7,2024-03-10
3,Jack,Hall,Bayfield,Colorado,81122,SO - 0001124,Direct/Organic,USD,15,15,2,0.05,1101.82,1695.1,2023-05-24
3,Jack,Hall,Bayfield,Colorado,81122,SO - 0001702,Direct/Organic,USD,2,17,6,0.2,2746.06,3390.2,2022-09-20
3,Jack,Hall,Bayfield,Colorado,81122,SO - 0006522,Referral,USD,15,19,2,0.075,1868.5,3892.7,2024-02-15
3,Jack,Hall,Bayfield,Colorado,81122,SO - 0008081,Direct/Organic,USD,14,22,6,0.05,1117.56,1862.6,2024-02-21
4,Charles,Alexander,San Juan,Puerto Rico,933,SO - 0001280,Partner,USD,18,3,6,0.075,391.15,931.3,2023-03-07
4,Charles,Alexander,San Juan,Puerto Rico,933,SO - 0002175,Partner,USD,21,14,6,0.05,2987.06,3879.3,2023-02-28
4,Charles,Alexander,San Juan,Puerto Rico,933,SO - 0002545,Partner,USD,2,41,6,0.075,441.66,690.1,2023-04-21
4,Charles,Alexander,San Juan,Puerto Rico,933,SO - 0003699,Referral,USD,19,19,8,0.05,2975.81,6331.5,2023-08-31
4,Charles,Alexander,San Juan,Puerto Rico,933,SO - 0004248,Direct/Organic,USD,15,36,4,0.05,705.51,1085.4,2023-05-19
4,Charles,Alexander,San Juan,Puerto Rico,933,SO - 0004409,Direct/Organic,USD,14,47,3,0.075,3069.67,3698.4,2023-12-02
4,Charles,Alexander,San Juan,Puerto Rico,933,SO - 0006046,Direct/Organic,USD,5,15,5,0.075,1542.07,1835.8,2023-07-14
4,Charles,Alexander,San Juan,Puerto Rico,933,SO - 0007496,Marketing - Paid,USD,12,45,7,0.075,557.51,1051.9,2024-02-03
5,Alexandra,Smith,Coosada,Alabama,36020,SO - 0003304,Referral,USD,5,11,4,0.15,778.41,1051.9,2023-11-14
5,Alexandra,Smith,Coosada,Alabama,36020,SO - 0005355,Referral,USD,19,41,1,0.05,2213.68,3953.0,2024-03-23
5,Alexandra,Smith,Coosada,Alabama,36020,SO - 0007333,Marketing - Field Event,USD,27,3,5,0.075,768.49,1038.5,2024-04-18
